split_type,split_id,window_s,eval_split,model,calibration_folds,calibration_status,bin,bin_lower,bin_upper,count,mean_confidence,accuracy,ece,brier_score,log_loss
random,seed_20267984,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,3,0.3,0.4,0,,,0.08485987012397297,0.032294345385534114,0.1282538843768003
random,seed_20267984,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,4,0.4,0.5,1,0.4502357946096985,0.0,0.08485987012397297,0.032294345385534114,0.1282538843768003
random,seed_20267984,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,5,0.5,0.6,0,,,0.08485987012397297,0.032294345385534114,0.1282538843768003
random,seed_20267984,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,6,0.6,0.7,0,,,0.08485987012397297,0.032294345385534114,0.1282538843768003
random,seed_20267984,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,7,0.7,0.8,4,0.7620488902406841,0.75,0.08485987012397297,0.032294345385534114,0.1282538843768003
random,seed_20267984,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,8,0.8,0.9,17,0.8602603219341564,1.0,0.08485987012397297,0.032294345385534114,0.1282538843768003
random,seed_20267984,120,validation,hist_gradient_boosting,3,train_only_sigmoid_cv,9,0.9,1.0,79,0.9278880886097532,1.0,0.08485987012397297,0.032294345385534114,0.1282538843768003
random,seed_20267984,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,0,0.0,0.1,0,,,0.08511230756369889,0.011154759045287283,0.0899405810849263
random,seed_20267984,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,1,0.1,0.2,0,,,0.08511230756369889,0.011154759045287283,0.0899405810849263
random,seed_20267984,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,2,0.2,0.3,0,,,0.08511230756369889,0.011154759045287283,0.0899405810849263
random,seed_20267984,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,3,0.3,0.4,0,,,0.08511230756369889,0.011154759045287283,0.0899405810849263
random,seed_20267984,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,4,0.4,0.5,0,,,0.08511230756369889,0.011154759045287283,0.0899405810849263
random,seed_20267984,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,5,0.5,0.6,0,,,0.08511230756369889,0.011154759045287283,0.0899405810849263
random,seed_20267984,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,6,0.6,0.7,1,0.6773613548464613,1.0,0.08511230756369889,0.011154759045287283,0.0899405810849263
random,seed_20267984,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,7,0.7,0.8,1,0.7901536766172198,1.0,0.08511230756369889,0.011154759045287283,0.0899405810849263
random,seed_20267984,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,8,0.8,0.9,13,0.8574191120446948,1.0,0.08511230756369889,0.011154759045287283,0.0899405810849263
random,seed_20267984,120,test,hist_gradient_boosting,3,train_only_sigmoid_cv,9,0.9,1.0,86,0.9277871331165314,1.0,0.08511230756369889,0.011154759045287283,0.0899405810849263
random,seed_20268993,120,validation,random_forest,3,train_only_sigmoid_cv,0,0.0,0.1,0,,,0.06913876676806043,0.006229096512704713,0.07182884639283774
