split_type,split_id,window_s,input_group,true_class,predicted_class,count,support
severity_blocked,middle_block,120,C_train_only_screened,LR,LLB,0,6
severity_blocked,middle_block,120,C_train_only_screened,LR,LOCA,0,6
severity_blocked,middle_block,120,C_train_only_screened,LR,LOCAC,0,6
severity_blocked,middle_block,120,C_train_only_screened,LR,LR,6,6
severity_blocked,middle_block,120,C_train_only_screened,LR,MD,0,6
severity_blocked,middle_block,120,C_train_only_screened,LR,RI,0,6
severity_blocked,middle_block,120,C_train_only_screened,LR,RW,0,6
severity_blocked,middle_block,120,C_train_only_screened,LR,SGATR,0,6
severity_blocked,middle_block,120,C_train_only_screened,LR,SGBTR,0,6
severity_blocked,middle_block,120,C_train_only_screened,LR,SLBIC,0,6
severity_blocked,middle_block,120,C_train_only_screened,LR,SLBOC,0,6
severity_blocked,middle_block,120,C_train_only_screened,MD,FLB,0,0
severity_blocked,middle_block,120,C_train_only_screened,MD,LLB,0,0
severity_blocked,middle_block,120,C_train_only_screened,MD,LOCA,0,0
severity_blocked,middle_block,120,C_train_only_screened,MD,LOCAC,0,0
severity_blocked,middle_block,120,C_train_only_screened,MD,LR,0,0
severity_blocked,middle_block,120,C_train_only_screened,MD,MD,0,0
severity_blocked,middle_block,120,C_train_only_screened,MD,RI,0,0
severity_blocked,middle_block,120,C_train_only_screened,MD,RW,0,0
severity_blocked,middle_block,120,C_train_only_screened,MD,SGATR,0,0
severity_blocked,middle_block,120,C_train_only_screened,MD,SGBTR,0,0
severity_blocked,middle_block,120,C_train_only_screened,MD,SLBIC,0,0
severity_blocked,middle_block,120,C_train_only_screened,MD,SLBOC,0,0
severity_blocked,middle_block,120,C_train_only_screened,RI,FLB,0,7
severity_blocked,middle_block,120,C_train_only_screened,RI,LLB,0,7
severity_blocked,middle_block,120,C_train_only_screened,RI,LOCA,0,7
severity_blocked,middle_block,120,C_train_only_screened,RI,LOCAC,0,7
severity_blocked,middle_block,120,C_train_only_screened,RI,LR,0,7
severity_blocked,middle_block,120,C_train_only_screened,RI,MD,0,7
severity_blocked,middle_block,120,C_train_only_screened,RI,RI,7,7
severity_blocked,middle_block,120,C_train_only_screened,RI,RW,0,7
severity_blocked,middle_block,120,C_train_only_screened,RI,SGATR,0,7
severity_blocked,middle_block,120,C_train_only_screened,RI,SGBTR,0,7
severity_blocked,middle_block,120,C_train_only_screened,RI,SLBIC,0,7
severity_blocked,middle_block,120,C_train_only_screened,RI,SLBOC,0,7
severity_blocked,middle_block,120,C_train_only_screened,RW,FLB,0,0
severity_blocked,middle_block,120,C_train_only_screened,RW,LLB,0,0
severity_blocked,middle_block,120,C_train_only_screened,RW,LOCA,0,0
severity_blocked,middle_block,120,C_train_only_screened,RW,LOCAC,0,0
severity_blocked,middle_block,120,C_train_only_screened,RW,LR,0,0
severity_blocked,middle_block,120,C_train_only_screened,RW,MD,0,0
severity_blocked,middle_block,120,C_train_only_screened,RW,RI,0,0
