split_type,split_id,window_s,feature_group,analysis_scope,mechanism,eval_split,target_coverage,threshold,secondary_threshold,validation_coverage,selected_model,calibration_status,n_total,n_accepted,n_rejected,coverage,selective_accuracy,selective_macro_f1,selective_balanced_accuracy,risk,reject_rate
random,seed_20266975,60,A_strict_38,control,margin,test,0.7,0.0095504782747029,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
random,seed_20266975,60,A_strict_38,control,distance,test,0.7,0.9999999999999968,,0.8118811881188119,hist_gradient_boosting,train_only_sigmoid_cv,101,83,18,0.8217821782178217,0.3253012048192771,0.20238095238095238,0.3333333333333333,0.6746987951807228,0.17821782178217827
random,seed_20266975,60,A_strict_38,control,combination,test,0.7,0.26653671542107066,0.9999999999999968,0.8118811881188119,hist_gradient_boosting,train_only_sigmoid_cv,101,83,18,0.8217821782178217,0.3253012048192771,0.20238095238095238,0.3333333333333333,0.6746987951807228,0.17821782178217827
random,seed_20266975,90,A_strict_38,control,forced_family,test,1.0,0.0,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
random,seed_20266975,90,A_strict_38,control,probability,test,0.7,0.26653671542107066,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
random,seed_20266975,90,A_strict_38,control,margin,test,0.7,0.0095504782747029,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,0.44554455445544555,0.33636498077491866,0.44175627240143367,0.5544554455445545,0.0
random,seed_20266975,90,A_strict_38,control,distance,test,0.7,0.999999999999999,,0.7326732673267327,hist_gradient_boosting,train_only_sigmoid_cv,101,76,25,0.7524752475247525,0.2631578947368421,0.05952380952380953,0.2,0.736842105263158,0.24752475247524752
random,seed_20266975,90,A_strict_38,control,combination,test,0.7,0.26653671542107066,0.999999999999999,0.7326732673267327,hist_gradient_boosting,train_only_sigmoid_cv,101,76,25,0.7524752475247525,0.2631578947368421,0.05952380952380953,0.2,0.736842105263158,0.24752475247524752
random,seed_20267984,120,A_strict_38,main,forced_family,test,1.0,0.0,,1.0,hist_gradient_boosting,train_only_sigmoid_cv,101,101,0,1.0,1.0,0.8571428571428571,1.0,0.0,0.0
random,seed_20267984,120,A_strict_38,main,probability,test,0.7,0.9108589079488931,,0.7821782178217822,hist_gradient_boosting,train_only_sigmoid_cv,101,86,15,0.8514851485148515,1.0,0.7142857142857143,1.0,0.0,0.14851485148514854
random,seed_20267984,120,A_strict_38,main,margin,test,0.7,0.8758871672082001,,0.7821782178217822,hist_gradient_boosting,train_only_sigmoid_cv,101,86,15,0.8514851485148515,1.0,0.7142857142857143,1.0,0.0,0.14851485148514854
random,seed_20267984,120,A_strict_38,main,distance,test,0.7,4.933976908878133,,0.7029702970297029,hist_gradient_boosting,train_only_sigmoid_cv,101,76,25,0.7524752475247525,1.0,0.7142857142857143,1.0,0.0,0.24752475247524752
random,seed_20267984,120,A_strict_38,main,combination,test,0.7,0.4502357946096985,4.933976908878133,0.7029702970297029,hist_gradient_boosting,train_only_sigmoid_cv,101,76,25,0.7524752475247525,1.0,0.7142857142857143,1.0,0.0,0.24752475247524752
