mode,landmark_s,input_group,model,split,n_trajectories,feature_count,excluded_high_coupling_count,suspicious_train_feature_count,mae,rmse,r2
sensitivity,120,severity_only,naive_mean,validation,15,1,20,0,102.67333333333337,242.581663225672,-0.027047803656155445
sensitivity,120,severity_only,naive_mean,test,16,1,20,0,161.0,467.7869012702258,-0.04436312216977356
sensitivity,120,severity_only,ridge,train,45,1,20,0,55.08765966891555,100.73234372214672,0.3252152585686351
sensitivity,120,severity_only,ridge,validation,15,1,20,0,89.19864876393129,215.89998473301938,0.186458067732437
sensitivity,120,severity_only,ridge,test,16,1,20,0,147.39455999899457,441.127388418922,0.07128286163621356
sensitivity,120,severity_only,random_forest,train,45,1,20,0,11.758300720164613,43.17787994652661,0.8760204644621529
sensitivity,120,severity_only,random_forest,validation,15,1,20,0,42.892342504409164,147.24888905698282,0.6215759118637361
sensitivity,120,severity_only,random_forest,test,16,1,20,0,108.4326316137566,378.6614415905863,0.31568260085169686
sensitivity,120,severity_only,gradient_boosting,train,45,1,20,0,10.137231114288168,47.29096012645306,0.8512751159986928
sensitivity,120,severity_only,gradient_boosting,validation,15,1,20,0,43.41825073213341,155.77173257244561,0.5765013598793574
sensitivity,120,severity_only,gradient_boosting,test,16,1,20,0,107.4129082448726,386.779416504723,0.286026451522322
sensitivity,120,process_only,naive_mean,train,45,170,20,0,66.24000000000001,122.62705882290237,0.0
sensitivity,120,process_only,naive_mean,validation,15,170,20,0,102.67333333333337,242.581663225672,-0.027047803656155445
sensitivity,120,process_only,naive_mean,test,16,170,20,0,161.0,467.7869012702258,-0.04436312216977356
sensitivity,120,process_only,ridge,train,45,170,20,0,23.619133206067225,46.17094304663068,0.8582363565592555
sensitivity,120,process_only,ridge,validation,15,170,20,0,54.80449411758935,138.34426225238275,0.6659611169321494
sensitivity,120,process_only,ridge,test,16,170,20,0,108.96127686937605,359.0964191040709,0.3845715581498875
sensitivity,120,process_only,random_forest,train,45,170,20,0,10.637150955320408,42.341455815300385,0.8807773012330792
sensitivity,120,process_only,random_forest,validation,15,170,20,0,39.392227204585545,145.58221667758212,0.6300940006983868
sensitivity,120,process_only,random_forest,test,16,170,20,0,101.81625008267193,375.8243373390594,0.32589862162337846
sensitivity,120,process_only,gradient_boosting,train,45,170,20,0,11.62676325881538,58.899251889572504,0.7693003512254059
sensitivity,120,process_only,gradient_boosting,validation,15,170,20,0,47.327633267162426,173.38224278750468,0.4753327546382483
sensitivity,120,process_only,gradient_boosting,test,16,170,20,0,104.54481782228295,402.186340833526,0.22801289131119906
sensitivity,120,severity_plus_process,naive_mean,train,45,171,20,0,66.24000000000001,122.62705882290237,0.0
sensitivity,120,severity_plus_process,naive_mean,validation,15,171,20,0,102.67333333333337,242.581663225672,-0.027047803656155445
sensitivity,120,severity_plus_process,naive_mean,test,16,171,20,0,161.0,467.7869012702258,-0.04436312216977356
sensitivity,120,severity_plus_process,ridge,train,45,171,20,0,23.29940782733253,45.65423182248765,0.8613916302460104
