scope,window_s,input_group,model,eval_split,true_class,predicted_class,count
all_sample,10,A_strict_38,naive_majority,test,FLB,RI,0
all_sample,10,A_strict_38,naive_majority,test,FLB,RW,0
all_sample,10,A_strict_38,naive_majority,test,FLB,SGATR,0
all_sample,10,A_strict_38,naive_majority,test,FLB,SGBTR,0
all_sample,10,A_strict_38,naive_majority,test,FLB,SLBIC,0
all_sample,10,A_strict_38,naive_majority,test,FLB,SLBOC,0
all_sample,10,A_strict_38,naive_majority,test,LLB,FLB,11
all_sample,10,A_strict_38,naive_majority,test,LLB,LLB,0
all_sample,10,A_strict_38,naive_majority,test,LLB,LOCA,0
all_sample,10,A_strict_38,naive_majority,test,LLB,LOCAC,0
all_sample,10,A_strict_38,naive_majority,test,LLB,LR,0
all_sample,10,A_strict_38,naive_majority,test,LLB,MD,0
all_sample,10,A_strict_38,naive_majority,test,LLB,RI,0
all_sample,10,A_strict_38,naive_majority,test,LLB,RW,0
all_sample,10,A_strict_38,naive_majority,test,LLB,SGATR,0
all_sample,10,A_strict_38,naive_majority,test,LLB,SGBTR,0
all_sample,10,A_strict_38,naive_majority,test,LLB,SLBIC,0
all_sample,10,A_strict_38,naive_majority,test,LLB,SLBOC,0
all_sample,10,A_strict_38,naive_majority,test,LOCA,FLB,10
all_sample,10,A_strict_38,naive_majority,test,LOCA,LLB,0
all_sample,10,A_strict_38,naive_majority,test,LOCA,LOCA,0
all_sample,10,A_strict_38,naive_majority,test,LOCA,LOCAC,0
all_sample,10,A_strict_38,naive_majority,test,LOCA,LR,0
all_sample,10,A_strict_38,naive_majority,test,LOCA,MD,0
all_sample,10,A_strict_38,naive_majority,test,LOCA,RI,0
all_sample,10,A_strict_38,naive_majority,test,LOCA,RW,0
all_sample,10,A_strict_38,naive_majority,test,LOCA,SGATR,0
all_sample,10,A_strict_38,naive_majority,test,LOCA,SGBTR,0
all_sample,10,A_strict_38,naive_majority,test,LOCA,SLBIC,0
all_sample,10,A_strict_38,naive_majority,test,LOCA,SLBOC,0
